Slot1ID,Slot2ID,Slot3ID,Slot1Sensor,Slot2Sensor,Slot3Sensor,MQ4Value,MQ5Value,MQ6Value,MQ9Value,DHTHumidity,DHTTemperature,BMPPressure,BMPTemperature,NEWTEMPTemperature
390,396,385,None,None,None,,,,,,,,,
255,263,254,None,None,None,,,,,,,,,
496,495,487,None,None,None,,,,,,,,,
494,498,482,None,None,None,,,,,,,,,
377,382,372,None,None,None,,,,,,,,,
271,278,268,None,None,None,,,,,,,,,
488,488,479,None,None,None,,,,,,,,,
530,532,515,None,None,None,,,,,,,,,
391,396,385,None,None,None,,,,,,,,,
272,280,271,None,None,None,,,,,,,,,
442,443,436,None,None,None,,,,,,,,,
554,555,540,None,None,None,,,,,,,,,
400,406,394,None,None,None,,,,,,,,,
291,299,290,None,None,None,,,,,,,,,
371,373,370,None,None,None,,,,,,,,,
576,576,562,None,None,None,,,,,,,,,
418,423,411,None,None,None,,,,,,,,,
335,341,330,None,None,None,,,,,,,,,
252,262,261,None,None,None,,,,,,,,,
533,532,522,None,None,None,,,,,,,,,
460,465,450,None,None,None,,,,,,,,,
373,379,367,None,None,None,,,,,,,,,
265,273,263,None,None,None,,,,,,,,,
613,616,605,None,None,None,,,,,,,,,
667,674,638,None,None,None,,,,,,,,,
148,204,284,None,None,BMP,,,,,,,782.00,22.31,
394,381,284,None,None,BMP,,,,,,,782.00,22.31,
307,340,284,None,None,BMP,,,,,,,782.00,22.31,
313,326,285,None,None,BMP,,,,,,,782.00,22.31,
523,497,285,None,None,BMP,,,,,,,782.00,22.31,
156,222,285,None,None,BMP,,,,,,,782.00,22.31,
371,372,285,None,None,BMP,,,,,,,782.00,22.31,
271,303,285,None,None,BMP,,,,,,,782.00,22.31,
313,322,284,None,None,BMP,,,,,,,782.00,22.31,
519,492,285,None,None,BMP,,,,,,,782.00,22.31,
152,206,285,None,None,BMP,,,,,,,782.00,22.31,
355,363,285,None,None,BMP,,,,,,,782.00,22.31,
311,333,285,None,None,BMP,,,,,,,782.00,22.31,
292,307,285,None,None,BMP,,,,,,,782.00,22.31,
514,488,285,None,None,BMP,,,,,,,782.00,22.31,
140,207,285,None,None,BMP,,,,,,,782.00,22.31,
346,352,284,None,None,BMP,,,,,,,782.00,22.31,
385,382,284,None,None,BMP,,,,,,,782.00,22.31,
251,282,284,None,None,BMP,,,,,,,782.00,22.31,
487,465,284,None,None,BMP,,,,,,,782.00,22.31,
132,201,285,None,None,BMP,,,,,,,782.00,22.31,
337,341,285,None,None,BMP,,,,,,,782.00,22.31,
474,453,285,None,None,BMP,,,,,,,782.00,22.31,
187,241,285,None,None,BMP,,,,,,,782.00,22.31,
378,378,285,None,None,BMP,,,,,,,782.00,22.31,
296,319,285,None,None,BMP,,,,,,,782.00,22.31,
280,301,285,None,None,BMP,,,,,,,782.00,22.31,
501,478,284,None,None,BMP,,,,,,,782.00,22.31,
125,195,284,None,None,BMP,,,,,,,782.00,22.31,
341,344,285,None,None,BMP,,,,,,,782.00,22.31,
563,546,285,None,None,BMP,,,,,,,782.00,22.31,
124,159,284,None,None,BMP,,,,,,,782.00,22.31,
356,36,283,None,None,BMP,,,,,,,782.00,22.31,
320,37,284,None,DHT,BMP,,,,,41.90,13.90,782.00,22.31,
493,37,284,None,DHT,BMP,,,,,43.30,13.90,782.00,22.31,
337,37,283,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
176,36,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
356,37,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
480,37,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
337,36,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
182,36,285,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
312,37,285,None,DHT,BMP,,,,,43.30,13.90,782.00,22.31,
490,36,284,None,DHT,BMP,,,,,43.30,13.90,782.00,22.31,
339,37,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
193,36,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
274,36,285,None,DHT,BMP,,,,,43.30,13.90,782.00,22.31,
499,38,284,None,DHT,BMP,,,,,43.20,13.80,782.00,22.31,
337,36,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
249,36,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
248,36,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
544,37,285,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
326,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
199,37,285,None,DHT,BMP,,,,,43.00,13.80,782.00,22.31,
224,36,284,None,DHT,BMP,,,,,43.00,13.80,782.00,22.31,
512,38,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
313,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
260,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
175,38,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
493,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
340,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
275,36,283,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
144,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
449,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
398,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
318,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
166,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
357,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
480,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
329,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
215,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
166,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
472,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
382,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
315,36,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
170,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
331,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
488,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
333,37,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
255,37,285,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
142,37,285,None,DHT,BMP,,,,,43.10,13.80,782.00,22.31,
428,36,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
448,38,285,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
332,36,283,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
216,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
199,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
474,37,283,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
366,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
315,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
176,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
325,38,283,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
478,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
332,37,284,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
262,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
141,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
459,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
396,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
317,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
157,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
355,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
481,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
333,38,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
226,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
167,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
458,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
389,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
321,38,285,None,DHT,BMP,,,,,43.20,13.90,782.00,22.31,
188,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
291,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
483,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
333,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
249,36,283,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
169,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
478,37,285,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
354,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
276,36,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
0,37,284,None,DHT,BMP,,,,,43.10,13.90,782.00,22.31,
196,36,282,MQ4,DHT,BMP,161,,,,43.30,13.90,782.00,22.31,
197,37,282,MQ4,DHT,BMP,161,,,,43.40,13.90,782.00,22.31,
197,37,282,MQ4,DHT,BMP,161,,,,43.30,13.90,782.00,22.31,
197,37,282,MQ4,DHT,BMP,161,,,,43.20,13.90,782.00,22.31,
196,36,281,MQ4,DHT,BMP,160,,,,43.20,13.90,782.00,22.31,
196,36,281,MQ4,DHT,BMP,161,,,,43.20,13.90,782.00,22.31,
196,36,282,MQ4,DHT,BMP,160,,,,43.10,13.90,782.00,22.31,
197,37,282,MQ4,DHT,BMP,161,,,,43.10,13.90,782.00,22.31,
196,36,281,MQ4,DHT,BMP,160,,,,43.10,13.90,782.00,22.31,
196,36,282,MQ4,DHT,BMP,161,,,,43.00,13.90,782.00,22.31,
196,36,281,MQ4,DHT,BMP,161,,,,43.00,13.90,782.00,22.31,
197,36,282,MQ4,DHT,BMP,161,,,,43.00,13.90,782.00,22.31,
197,37,281,MQ4,DHT,BMP,161,,,,43.00,13.90,782.00,22.31,
195,37,281,MQ4,DHT,BMP,161,,,,43.00,13.90,782.00,22.31,
197,36,281,MQ4,DHT,BMP,161,,,,42.90,13.90,782.00,22.31,
196,36,281,MQ4,DHT,BMP,160,,,,42.90,13.90,782.00,22.31,
